center_id,day_of_week,age_group_id,program_id,in_time,out_time,before_school
1,1,2,3,null,2:00:00 PM,FALSE
1,1,2,3,null,2:30:00 PM,FALSE
1,1,2,3,null,3:00:00 PM,FALSE
1,1,2,3,null,3:30:00 PM,FALSE
1,1,2,3,null,4:00:00 PM,FALSE
1,1,2,3,null,4:30:00 PM,FALSE
1,1,2,3,null,5:00:00 PM,FALSE
1,1,2,3,null,5:30:00 PM,FALSE
1,1,2,3,null,6:00:00 PM,FALSE
1,1,2,3,6:45:00 AM,7:45:00 AM,TRUE
1,2,2,3,12:00:00 PM,null,FALSE
1,2,2,3,null,12:30:00 PM,FALSE
1,2,2,3,null,1:00:00 PM,FALSE
1,2,2,3,null,1:30:00 PM,FALSE
1,2,2,3,null,2:00:00 PM,FALSE
1,2,2,3,null,2:30:00 PM,FALSE
1,2,2,3,null,3:00:00 PM,FALSE
1,2,2,3,null,3:30:00 PM,FALSE
1,2,2,3,null,4:00:00 PM,FALSE
1,2,2,3,null,4:30:00 PM,FALSE
1,2,2,3,null,5:00:00 PM,FALSE
1,2,2,3,null,5:30:00 PM,FALSE
1,2,2,3,null,6:00:00 PM,FALSE
1,2,2,3,6:45:00 AM,7:45:00 AM,TRUE
1,3,2,3,12:00:00 PM,null,FALSE
1,3,2,3,null,12:30:00 PM,FALSE
1,3,2,3,null,1:00:00 PM,FALSE
1,3,2,3,null,1:30:00 PM,FALSE
1,3,2,3,null,2:00:00 PM,FALSE
1,3,2,3,null,2:30:00 PM,FALSE
1,3,2,3,null,3:00:00 PM,FALSE
1,3,2,3,null,3:30:00 PM,FALSE
1,3,2,3,null,4:00:00 PM,FALSE
1,3,2,3,null,4:30:00 PM,FALSE
1,3,2,3,null,5:00:00 PM,FALSE
1,3,2,3,null,5:30:00 PM,FALSE
1,3,2,3,null,6:00:00 PM,FALSE
1,3,2,3,6:45:00 AM,7:45:00 AM,TRUE
1,4,2,3,12:00:00 PM,null,FALSE
1,4,2,3,null,12:30:00 PM,FALSE
1,4,2,3,null,1:00:00 PM,FALSE
1,4,2,3,null,1:30:00 PM,FALSE
1,4,2,3,null,2:00:00 PM,FALSE
1,4,2,3,null,2:30:00 PM,FALSE
1,4,2,3,null,3:00:00 PM,FALSE
1,4,2,3,null,3:30:00 PM,FALSE
1,4,2,3,null,4:00:00 PM,FALSE
1,4,2,3,null,4:30:00 PM,FALSE
1,4,2,3,null,5:00:00 PM,FALSE
1,4,2,3,null,5:30:00 PM,FALSE
